job_title,job_detail_url,job_listed,company_name,company_link,company_location
Responsible AI - Engineering,https://es.linkedin.com/jobs/view/responsible-ai-engineering-at-accenture-espa%C3%B1a-4058544273?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=rMF6e8fZiSyA100znsGCVg%3D%3D&position=17&pageNum=27,3 months ago,Accenture España,https://es.linkedin.com/company/accenture-espana?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Associate Sales Operations Analyst,https://es.linkedin.com/jobs/view/associate-sales-operations-analyst-at-canonical-4104846335?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=JF1BdK6F7pk2Kbft2v4wEA%3D%3D&position=18&pageNum=27,1 month ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Rate Loading & Distribution Agent,https://es.linkedin.com/jobs/view/rate-loading-distribution-agent-at-smartrental-group-4117987947?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=RjsCjbElgA%2FFC%2BdCSQT%2Bmg%3D%3D&position=19&pageNum=27,1 month ago,SmartRental,https://es.linkedin.com/company/smartrentalgroup?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"Applied Scientist, Amazon Devices - Tablets",https://es.linkedin.com/jobs/view/applied-scientist-amazon-devices-tablets-at-amazon-4122915018?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=TN9bP4lEZqLUj3J6jLPsTw%3D%3D&position=20&pageNum=27,3 days ago,Amazon,https://www.linkedin.com/company/amazon?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Head of Organisational Development,https://es.linkedin.com/jobs/view/head-of-organisational-development-at-canonical-4095621323?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=2g1OoZIsq4LFL5tzCIeukQ%3D%3D&position=21&pageNum=27,1 month ago,Canonical,https://uk.linkedin.com/company/canonical?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sevilla La Nueva, Community of Madrid, Spain"
Marketing Project Manager (Webinar Funnel),https://es.linkedin.com/jobs/view/marketing-project-manager-webinar-funnel-at-tripleten-4146101259?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=NrABsHbAwC5lSR9dDx%2BArw%3D%3D&position=22&pageNum=27,1 day ago,TripleTen,https://www.linkedin.com/company/tripleten?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
TLS | Perfil técnico junior - D&A,https://es.linkedin.com/jobs/view/tls-perfil-t%C3%A9cnico-junior-d-a-at-pwc-espa%C3%B1a-4095498066?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=svgdjEldYDSKaJvmzZcCXQ%3D%3D&position=23&pageNum=27,3 days ago,PwC España,https://es.linkedin.com/company/pwc-espana?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
CONSULTOR EN CIBERSEGURIDAD Y RIESGOS TECNOLÓGICOS MADRID,https://es.linkedin.com/jobs/view/consultor-en-ciberseguridad-y-riesgos-tecnol%C3%B3gicos-madrid-at-management-solutions-3973478973?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=jCC%2FMiaHd6cgjWWbdHxsRw%3D%3D&position=24&pageNum=27,2 months ago,Management Solutions,https://es.linkedin.com/company/management-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Associate Data Science & Management Consultant (DACH) - Orbit Program,https://es.linkedin.com/jobs/view/associate-data-science-management-consultant-dach-orbit-program-at-celonis-4132867897?refId=7HMYpXFfKHPotuoJWwhQEQ%3D%3D&trackingId=ijdRZ%2BLldCs6vwVPdZtnaw%3D%3D&position=25&pageNum=27,2 weeks ago,Celonis,https://www.linkedin.com/company/celonis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Big Data Team Lead - Datalake (ODS),https://es.linkedin.com/jobs/view/big-data-team-lead-datalake-ods-at-santander-4069157050?refId=%2BX38YqNnE5tha%2Bv%2B%2BeD9Yw%3D%3D&trackingId=2MrV143RbCv0SbF2lXN%2BZw%3D%3D&position=1&pageNum=28,3 months ago,Santander,https://es.linkedin.com/company/banco-santander?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
"Real-Time Optimization Engineer - Relocate to Saudi Arabia, Permanent Expat Family Relocation Package",https://es.linkedin.com/jobs/view/real-time-optimization-engineer-relocate-to-saudi-arabia-permanent-expat-family-relocation-package-at-aramco-4140664599?refId=%2BX38YqNnE5tha%2Bv%2B%2BeD9Yw%3D%3D&trackingId=6BO%2FGuzBR8JSdMwu8boOzw%3D%3D&position=2&pageNum=28,5 days ago,aramco,https://sa.linkedin.com/company/aramco?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Cloud Data Engineer (GCP),https://es.linkedin.com/jobs/view/cloud-data-engineer-gcp-at-primeit-espa%C3%B1a-4145740924?refId=%2BX38YqNnE5tha%2Bv%2B%2BeD9Yw%3D%3D&trackingId=cct6o%2FjS8G5JFB7rB%2FQZvg%3D%3D&position=3&pageNum=28,1 day ago,PrimeIT España,https://es.linkedin.com/company/primeit-espa%C3%B1a?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Software Developer in Test,https://es.linkedin.com/jobs/view/software-developer-in-test-at-atradius-4096872201?refId=%2BX38YqNnE5tha%2Bv%2B%2BeD9Yw%3D%3D&trackingId=V2D%2BoA6DSaEMvG%2FwyfGl9w%3D%3D&position=4&pageNum=28,2 weeks ago,Atradius,https://nl.linkedin.com/company/atradius?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
