job_title,job_detail_url,job_listed,company_name,company_link,company_location
Database Quality Content Technician,https://es.linkedin.com/jobs/view/database-quality-content-technician-at-gt-motive-spain-4088513657?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=YcFosZFNqjRISNwMMwA91g%3D%3D&position=10&pageNum=14,2 months ago,GT Motive Spain,https://es.linkedin.com/company/gtmotive-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Ingeniero/a de datos,https://es.linkedin.com/jobs/view/ingeniero-a-de-datos-at-tuy%C3%BA-technology-4087165716?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=WzuO%2FeBDUa1C%2Bq5zABVp1w%3D%3D&position=11&pageNum=14,3 months ago,TUYÚ Technology,https://es.linkedin.com/company/tuyutechnology?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Analista Programador/a Modelado de Datos,https://es.linkedin.com/jobs/view/analista-programador-a-modelado-de-datos-at-ayesa-4129455902?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=8Kx8eEXJZ%2FBkbzwObPeS6g%3D%3D&position=12&pageNum=14,2 weeks ago,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Power BI Senior Consultant,https://es.linkedin.com/jobs/view/power-bi-senior-consultant-at-orange-business-4125911202?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=lAms7N6JeGjdAZK5NFpEFg%3D%3D&position=13&pageNum=14,3 weeks ago,Orange Business,https://fr.linkedin.com/company/orange-business?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-thetaray-4143535243?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=%2F3EwiMxTYPfxF3vnuSJJNw%3D%3D&position=14&pageNum=14,2 days ago,ThetaRay,https://www.linkedin.com/company/thetaray?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Artificial Intelligence Researcher,https://es.linkedin.com/jobs/view/artificial-intelligence-researcher-at-ravenloop-4144118551?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=FlqyMdC9PI3RUak8j2MS8Q%3D%3D&position=15&pageNum=14,1 day ago,Ravenloop,https://es.linkedin.com/company/ravenloop?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boadilla del Monte, Community of Madrid, Spain"
Prácticas en consultoría de CRM,https://es.linkedin.com/jobs/view/pr%C3%A1cticas-en-consultor%C3%ADa-de-crm-at-cognodata-4144700983?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=wfqhyfSuZQ0rZ0SMeSZ7SA%3D%3D&position=16&pageNum=14,2 days ago,Cognodata,https://es.linkedin.com/company/cognodata?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Ingeniero/a en Analítica Digital,https://es.linkedin.com/jobs/view/ingeniero-a-en-anal%C3%ADtica-digital-at-alter-solutions-group-4110181530?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=NMC7oQ%2FU3FZ3jdjXjzHT2w%3D%3D&position=17&pageNum=14,1 month ago,Alter Solutions Group,https://fr.linkedin.com/company/alter-solutions-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Data Engineer- Datalake,https://es.linkedin.com/jobs/view/data-engineer-datalake-at-cobser-consulting-4141620474?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=r1AghUgleF4KQ6eFgvi%2BsA%3D%3D&position=18&pageNum=14,4 days ago,Cobser Consulting,https://es.linkedin.com/company/cobser-consulting?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
Especialista en Ciencia de Datos (GPUs y Cloud),https://es.linkedin.com/jobs/view/especialista-en-ciencia-de-datos-gpus-y-cloud-at-ayesa-4127252002?refId=QawSkZW2MOwXl4GgecphDw%3D%3D&trackingId=V%2Bqxj4cG13%2BbwYKlyGOTqw%3D%3D&position=19&pageNum=14,3 weeks ago,Ayesa,https://es.linkedin.com/company/ayesa?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
