,job_title,job_detail_url,job_listed,company_name,company_link,company_location
246,Software and Support Engineer for Siemens Logistics,https://es.linkedin.com/jobs/view/software-and-support-engineer-for-siemens-logistics-at-siemens-4141623950?refId=k9%2FkRnfSBzcobArEZmRAig%3D%3D&trackingId=0vD4ik3%2BJD6NnkeVF7L5cA%3D%3D&position=25&pageNum=35,4 days ago,Siemens,https://de.linkedin.com/company/siemens?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
247,Field Service Engineer,https://es.linkedin.com/jobs/view/field-service-engineer-at-alfa-laval-energy-4143373998?refId=FnhfE%2BUO6DlfX1s9TYmIuw%3D%3D&trackingId=RM9SHYxvH%2B4OkSHFvbe1MQ%3D%3D&position=12&pageNum=36,4 days ago,Alfa Laval - Energy,https://se.linkedin.com/company/alfa-laval-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
248,Sr. Software Engineer .NET,https://es.linkedin.com/jobs/view/sr-software-engineer-net-at-inetum-4141665307?refId=FnhfE%2BUO6DlfX1s9TYmIuw%3D%3D&trackingId=9nhn4UTaDlvnz03ci%2BoxNA%3D%3D&position=14&pageNum=36,4 days ago,Inetum,https://fr.linkedin.com/company/inetum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
249,Project Engineer,https://es.linkedin.com/jobs/view/project-engineer-at-nextracker-inc-4143652283?refId=M92tBlvFSrvwBHhPL3Il6Q%3D%3D&trackingId=RGJVIOCZ8QlyyCyas%2B0rvQ%3D%3D&position=12&pageNum=37,4 days ago,Nextracker Inc.,https://www.linkedin.com/company/nextracker-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
250,R&D Engineer - Software Developer for Material Apps,https://es.linkedin.com/jobs/view/r-d-engineer-software-developer-for-material-apps-at-ansys-4111760685?refId=4aUxUe7ReM%2FfmMEQZ%2Bz1sA%3D%3D&trackingId=ijUG0g9vxNHpvsIbNApBGQ%3D%3D&position=8&pageNum=38,4 days ago,Ansys,https://www.linkedin.com/company/ansys-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
251,Junior Data Engineer,https://es.linkedin.com/jobs/view/junior-data-engineer-at-ladorian-in-store-retail-media-4138336693?refId=5lUV4%2FNAtY0kytHF7H9LFw%3D%3D&trackingId=NtIiCpUes7N%2FOJhjRG5Beg%3D%3D&position=12&pageNum=0,5 days ago,Ladorian,https://es.linkedin.com/company/ladorian?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
252,Data Analyst (Engineer),https://es.linkedin.com/jobs/view/data-analyst-engineer-at-revolut-4142286885?refId=gl%2Bd7kBz9WLFJeX%2Bk722Sg%3D%3D&trackingId=LnUzVtHPBSGczsEr0hnRUw%3D%3D&position=15&pageNum=1,5 days ago,Revolut,https://uk.linkedin.com/company/revolut?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
253,Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-mahou-san-miguel-4141143189?refId=gl%2Bd7kBz9WLFJeX%2Bk722Sg%3D%3D&trackingId=sJAUVosruei8I%2BlBq6EoyQ%3D%3D&position=24&pageNum=1,5 days ago,Mahou San Miguel,https://es.linkedin.com/company/mahou-san-miguel?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
254,Technical Data Analyst/Data Engineer,https://es.linkedin.com/jobs/view/technical-data-analyst-data-engineer-at-orquest-retail-smart-planning-4141131441?refId=JOY6haVz%2BavdFBx3hGjq%2BQ%3D%3D&trackingId=7%2F5tR2EvqHKTmoHp9iCguA%3D%3D&position=3&pageNum=2,5 days ago,Orquest - Retail Smart Planning,https://es.linkedin.com/company/orquest?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
255,Data Analyst - Fraude Audiovisual,https://es.linkedin.com/jobs/view/data-analyst-fraude-audiovisual-at-laliga-4142631834?refId=JOY6haVz%2BavdFBx3hGjq%2BQ%3D%3D&trackingId=1yXPj14FPZaLINWSbiKeUA%3D%3D&position=9&pageNum=2,5 days ago,LALIGA,https://es.linkedin.com/company/laliga?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
256,Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-sdg-group-espa%C3%B1a-3931414992?refId=NfI1oXKEWAziniZHawNbcA%3D%3D&trackingId=1NBNp59DeZloykJRqCEYKw%3D%3D&position=9&pageNum=5,5 days ago,SDG Group España,https://es.linkedin.com/company/sdg-group-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
257,Especialista En DATA E IA PARA SECTOR FORMACION/HIBRIDO MADRID,https://es.linkedin.com/jobs/view/especialista-en-data-e-ia-para-sector-formacion-hibrido-madrid-at-experis-4132033702?refId=NfI1oXKEWAziniZHawNbcA%3D%3D&trackingId=KTkgJ9SmZAfwRriwEpD6ow%3D%3D&position=17&pageNum=5,5 days ago,Experis,https://www.linkedin.com/company/experis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
258,Data Engineer,https://es.linkedin.com/jobs/view/data-engineer-at-philip-morris-international-4127944753?refId=qiJ6q4%2BjkVAGpjN7lVYm9g%3D%3D&trackingId=E0s4sWdIMyHbIDTLaF%2BpRQ%3D%3D&position=1&pageNum=6,5 days ago,Philip Morris International,https://ch.linkedin.com/company/insidepmi?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
259,Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-sdg-group-espa%C3%B1a-3757292593?refId=qiJ6q4%2BjkVAGpjN7lVYm9g%3D%3D&trackingId=6caM9vxHVD03Ysx83aRG8w%3D%3D&position=6&pageNum=6,5 days ago,SDG Group España,https://es.linkedin.com/company/sdg-group-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
260,Data Analyst Power BI,https://es.linkedin.com/jobs/view/data-analyst-power-bi-at-logicalis-spain-4125751464?refId=qiJ6q4%2BjkVAGpjN7lVYm9g%3D%3D&trackingId=h867eJkoKk5xNbpdg6vHDg%3D%3D&position=19&pageNum=6,5 days ago,Logicalis Spain,https://es.linkedin.com/company/logicalis-spain?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
261,Analista de datos con SQL alto,https://es.linkedin.com/jobs/view/analista-de-datos-con-sql-alto-at-cognodata-4143018342?refId=qiJ6q4%2BjkVAGpjN7lVYm9g%3D%3D&trackingId=fIZsGUOGrWhL%2BEH58%2B2cxw%3D%3D&position=23&pageNum=6,5 days ago,Cognodata,https://es.linkedin.com/company/cognodata?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
262,Data Engineer II,https://es.linkedin.com/jobs/view/data-engineer-ii-at-expedia-group-4130991821?refId=XzILX%2FJyntX%2BslwEYSdfAA%3D%3D&trackingId=Iy5xQ7Ev2PTKVZF1cw187Q%3D%3D&position=16&pageNum=8,5 days ago,Expedia Group,https://www.linkedin.com/company/expedia?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
263,Analista de datos con SQL alto,https://es.linkedin.com/jobs/view/analista-de-datos-con-sql-alto-at-cognodata-4143018342?refId=jj4UbOc%2FecseE2pKr2PGiw%3D%3D&trackingId=dGBJmXzr5IrBwnRqVZAG8Q%3D%3D&position=2&pageNum=11,5 days ago,Cognodata,https://es.linkedin.com/company/cognodata?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
264,Junior Business Intelligence,https://es.linkedin.com/jobs/view/junior-business-intelligence-at-clikalia-4142653271?refId=jj4UbOc%2FecseE2pKr2PGiw%3D%3D&trackingId=wpIXyr2lE5WreYFD93VFHA%3D%3D&position=14&pageNum=11,5 days ago,Clikalia,https://es.linkedin.com/company/clikalia-proptech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
265,Data Analyst,https://es.linkedin.com/jobs/view/data-analyst-at-kone-4142606765?refId=1gxsBjCoxyvxl5YEGDjwHQ%3D%3D&trackingId=1l9sOZWR9jqOCP7Aq809tg%3D%3D&position=5&pageNum=12,5 days ago,KONE,https://fi.linkedin.com/company/kone?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
266,Software Engineering Platforms Principal Engineer (DevOps Platforms),https://es.linkedin.com/jobs/view/software-engineering-platforms-principal-engineer-devops-platforms-at-stellantis-4114694282?refId=1gxsBjCoxyvxl5YEGDjwHQ%3D%3D&trackingId=nZ0Dr8%2F8iDNQ%2FxTjPyI36g%3D%3D&position=20&pageNum=12,5 days ago,Stellantis,https://nl.linkedin.com/company/stellantis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
267,Senior Software Engineer (focus on Data/ AI/ML),https://es.linkedin.com/jobs/view/senior-software-engineer-focus-on-data-ai-ml-at-kudelski-security-4142275649?refId=RdedVh4j8Ltwj0EyXoSKYA%3D%3D&trackingId=cjBJFs0%2F2%2F%2Bzh9gNT5U%2FuQ%3D%3D&position=2&pageNum=14,5 days ago,Kudelski Security,https://ch.linkedin.com/company/kudelski-security?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
268,Senior Cloud Data Engineer,https://es.linkedin.com/jobs/view/senior-cloud-data-engineer-at-ravenpack-4061879999?refId=xAOfEyQvsTybZp6n8A%2B4ZA%3D%3D&trackingId=mc7hRaiyv%2Brhl%2BX1%2FzzSzQ%3D%3D&position=4&pageNum=16,5 days ago,RavenPack,https://es.linkedin.com/company/ravenpack?trk=public_jobs_jserp-result_job-search-card-subtitle,"Madrid, Community of Madrid, Spain"
